rank,symbol,name,signal_date,last_bar_date,sample_count,expected_return_5d,probability_up_5d,train_window_5d,ridge_alpha_5d,validation_mae_5d,validation_direction_accuracy_5d,expected_return_10d,probability_up_10d,train_window_10d,ridge_alpha_10d,validation_mae_10d,validation_direction_accuracy_10d
2186,600218,全柴动力,2026-07-14,2026-07-14,518,-0.03202098098687356,0.11666666666666667,120,10.0,0.033059823860764496,0.5666666666666667,-0.03428381894402678,0.13333333333333333,120,10.0,0.05103472653220899,0.7666666666666667
2187,601898,中煤能源,2026-07-14,2026-07-14,518,-0.03205206459857352,0.3,120,10.0,0.07032700519772363,0.5166666666666667,-0.07389479500821632,0.08333333333333333,120,10.0,0.09465840763249425,0.36666666666666664
2188,603528,多伦科技,2026-07-14,2026-07-14,518,-0.032105126595514594,0.06666666666666667,180,10.0,0.03667250745268683,0.55,-0.050051677607528045,0.06666666666666667,180,10.0,0.054327950422402564,0.5833333333333334
2189,001331,胜通能源,2026-07-14,2026-07-14,489,-0.03213254430051438,0.25,240,10.0,0.10411891441909443,0.4166666666666667,-0.05813496817979573,0.15,240,10.0,0.16053720159531956,0.55
2190,600794,保税科技,2026-07-14,2026-07-14,518,-0.03215367478051894,0.08333333333333333,180,10.0,0.02496780341703079,0.5166666666666667,-0.04783126564593483,0.05,180,10.0,0.03578245042944527,0.7166666666666667
2191,600526,菲达环保,2026-07-14,2026-07-14,518,-0.03216405016794861,0.08333333333333333,180,10.0,0.03244779138663075,0.55,-0.029149660650910084,0.15,120,10.0,0.04132613238924816,0.6
2192,000975,山金国际,2026-07-14,2026-07-14,518,-0.0321730484026433,0.31666666666666665,240,10.0,0.0779841903351588,0.5166666666666667,-0.12988049005590546,0.08333333333333333,240,0.1,0.07262495296495163,0.7666666666666667
2193,603633,徕木股份,2026-07-14,2026-07-14,518,-0.03218952604242182,0.3333333333333333,240,1.0,0.05842324284363683,0.6166666666666667,-0.07531392041311236,0.23333333333333334,240,10.0,0.07080796772652649,0.6833333333333333
2194,603536,惠发食品,2026-07-14,2026-07-14,518,-0.032195925057265505,0.08333333333333333,120,10.0,0.03125731212878995,0.6,-0.03186743295254303,0.2,120,0.1,0.033091888694428896,0.8166666666666667
2195,000635,英 力 特,2026-07-14,2026-07-14,518,-0.03223719222501468,0.1,120,10.0,0.029669368618515966,0.55,-0.05995440198010238,0.016666666666666666,120,10.0,0.03976253173337924,0.75
2196,002258,利尔化学,2026-07-14,2026-07-14,518,-0.03223986955383299,0.26666666666666666,120,10.0,0.04842070768378679,0.43333333333333335,-0.059091994798296105,0.21666666666666667,120,10.0,0.07075545519226542,0.36666666666666664
2197,002598,山东章鼓,2026-07-14,2026-07-14,517,-0.03230577195184658,0.13333333333333333,180,10.0,0.03029285413491093,0.7333333333333333,-0.03353409976161217,0.11666666666666667,180,10.0,0.04273585238977236,0.7333333333333333
2198,605155,西大门,2026-07-14,2026-07-14,518,-0.03234290595667085,0.18333333333333332,240,10.0,0.049878711241807865,0.55,-0.01622007695412314,0.16666666666666666,120,10.0,0.06746487749867455,0.6
